#{"t_start": 1627294149.254651, "env_id": null}
r,l,t
-1.04,5,7.170509
-1.13,14,7.18823
-1.01,2,7.19255
-1.23,24,7.21861
-1.08,9,7.228117
-1.06,7,7.241123
-1.43,44,7.272497
-1.05,6,7.281598
-1.07,8,7.28966
-1.3,31,7.312819
-1.03,4,7.319826
-1.11,12,7.334884
-1.01,2,7.337577
-1.26,27,7.363642
-2.38,139,7.456789
-1.01,2,7.460028
-1.05,6,7.467375
-1,1,7.469437
-1.07,8,7.477447
-1,1,7.479445
-1.05,6,7.485568
-1.23,24,7.517739
-1.03,4,7.523232
-1.05,6,7.52904
-1.03,4,7.534879
-1.03,4,7.540018
-1,1,7.542405
-1.17,18,7.561557
-1,1,7.563616
-1.12,13,7.580388
-1.24,25,7.603906
-1.28,29,7.635761
-1.02,3,7.641121
-1,1,7.643351
-1.39,40,7.676779
-1.67,68,7.727793
-1.23,24,7.751033
-1.16,17,7.765134
-1.18,19,7.788221
-1.12,13,7.799861
-1.01,2,7.802731
-1.01,2,7.806591
-1.08,9,7.814996
-1.12,13,7.82999
-1.21,22,7.848408
-1.02,3,7.85304
-1.03,4,7.85856
-1.03,4,7.864279
-1.04,5,7.871433
-1.18,19,7.890897
-1.18,19,7.9113
-1.03,4,7.917957
-1.02,3,7.922316
-1.01,2,7.926033
-1.17,18,7.946775
-1,1,7.948725
-1.02,3,7.952323
-1.01,2,7.955068
-1,1,7.957395
-1,1,7.959275
-1.05,6,7.966155
-1.01,2,7.970515
-1.17,18,7.988554
-1.4,41,8.025877
-1.04,5,8.035712
-1.37,38,8.06349
-1.16,17,8.08414
-1.35,36,8.112572
-1.04,5,8.117486
-1.03,4,8.12165
-1.01,2,8.124406
-1.04,5,8.129673
-1.16,17,8.150203
-1.01,2,8.154394
-1.02,3,8.159087
-1.02,3,8.164145
-1.03,4,8.17105
-1.46,47,8.206576
-1.04,5,8.213761
-1,1,8.215869
-1.1,11,8.231308
-1.08,9,8.241039
-1.03,4,8.246603
-1.09,10,8.257812
-1.1,11,8.270382
-1.02,3,8.273685
-1.07,8,8.283335
-1.26,27,8.307864
-1.1,11,8.318713
-1.07,8,8.330811
-1.17,18,8.34623
-1.13,14,8.361598
-1.03,4,8.368304
-1.1,11,8.382137
-1.04,5,8.388437
-1.08,9,8.399951
-1.08,9,8.410358
-1,1,8.41242
-1.09,10,8.4275
-1.03,4,8.432974
-1.07,8,8.440516
-1.01,2,8.444344
-1.14,15,8.459138
-1.04,5,8.466647
-1.02,3,8.470737
-1.12,13,8.484614
-1.16,17,8.501741
-1.09,10,8.514645
